"","Run_1","Run_10","Run_100","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16","Run_17","Run_18","Run_19","Run_2","Run_20","Run_21","Run_22","Run_23","Run_24","Run_25","Run_26","Run_27","Run_28","Run_29","Run_3","Run_30","Run_31","Run_32","Run_33","Run_34","Run_35","Run_36","Run_37","Run_38","Run_39","Run_4","Run_40","Run_41","Run_42","Run_43","Run_44","Run_45","Run_46","Run_47","Run_48","Run_49","Run_5","Run_50","Run_51","Run_52","Run_53","Run_54","Run_55","Run_56","Run_57","Run_58","Run_59","Run_6","Run_60","Run_61","Run_62","Run_63","Run_64","Run_65","Run_66","Run_67","Run_68","Run_69","Run_7","Run_70","Run_71","Run_72","Run_73","Run_74","Run_75","Run_76","Run_77","Run_78","Run_79","Run_8","Run_80","Run_81","Run_82","Run_83","Run_84","Run_85","Run_86","Run_87","Run_88","Run_89","Run_9","Run_90","Run_91","Run_92","Run_93","Run_94","Run_95","Run_96","Run_97","Run_98","Run_99","Clade","Cont","mean"
"Solanum_sisymbriifolium",0.308087683594136,0.304919929194284,0.267062250858661,0.303352663026006,0.248647300186565,0.25495929500779,0.295385125852905,0.263084784590429,0.356688399618308,0.263861336607381,0.31747253897499,0.274259111223511,0.310199668945931,0.309192765853578,0.284191628711818,0.241182911268717,0.251534281034099,0.265703251403684,0.465137716554322,0.306021760985858,0.296322714719724,0.302575043224915,0.289698666863806,0.300414063210465,0.307625050426171,0.316676082912639,0.300720656412752,0.27205792832635,0.289337561831919,0.258960681575265,0.273678983000438,0.302504700794318,0.268998408226535,0.305080156897133,0.268070440519034,0.300714476124869,0.252105291953468,0.253545924414445,0.293817134167351,0.266779813802716,0.357271211818248,0.2627997616173,0.315798232432717,0.273847705104543,0.303190725746407,0.292190571633552,0.286570467639189,0.242649501117359,0.255012040572154,0.268281360681126,0.460971254798764,0.306050930693116,0.296147121824944,0.30058243973567,0.295786941581728,0.24303612998461,0.262170513779861,0.269000817400004,0.268734814187066,0.22512910722287,0.286660348743353,0.293558206916253,0.267884038877551,0.269191729409125,0.276164597556221,0.296136493174067,0.221828810473973,0.27296519909595,0.298714581845049,0.260263967215728,0.306034016350276,0.312191315441765,0.287851444662442,0.187562198313103,0.22432343128597,0.275658783497589,0.275390725488428,0.2944568817959,0.301168109848071,0.23840894758342,0.284234002132712,0.222100676459559,0.416216864053313,0.280590514317139,0.306084718194245,0.276231685528073,0.232017821440592,0.215279665203901,0.265456526719441,0.264548027713254,0.307497566493813,0.286688812234717,0.309003798983634,0.31369546271835,0.298408858217749,0.269743929113987,0.292683119478003,0.257922789813189,0.274435996390588,0.302549988460191,"Sisymbriifolium","Other",0.285176544837092
"Solanum_tenuipes",0.303053543135229,0.302789864060571,0.267062250858661,0.303352663026006,0.249400476017631,0.256196860204335,0.296372383041977,0.26460821318697,0.356688399618308,0.263861336607381,0.307803199765293,0.274844160393142,0.311253363354582,0.309715123901636,0.288255202018771,0.237535241497509,0.251281880828566,0.265703251403684,0.468907113962882,0.306880338326642,0.29477540308059,0.301356133271572,0.289698666863806,0.301479452744622,0.306213749799831,0.317025593363949,0.301313685753394,0.270072504605975,0.290046823563613,0.261793164705324,0.273678983000438,0.30555371223311,0.269194620077681,0.301544478523085,0.268721426150756,0.301437624081679,0.252105291953468,0.253545924414445,0.293817134167351,0.263711688373071,0.355297273445628,0.2627997616173,0.318129939863262,0.275253652229613,0.303777201409443,0.291259280476091,0.288833331204365,0.242649501117359,0.254970198185953,0.269585579683262,0.464963963712632,0.307050201746326,0.296661633211826,0.295428605945779,0.295423694897933,0.241746861373973,0.261246405122251,0.268525576646181,0.265824423210906,0.226927096207862,0.286330932523792,0.294373911390417,0.265095852256415,0.265748561921077,0.27279634860113,0.289721742744335,0.221828810473973,0.273060474675942,0.298904037670314,0.259730400387384,0.306340523067043,0.312602780639994,0.286774919546474,0.185108988843304,0.22432343128597,0.275908208708856,0.276022422172096,0.293679597793075,0.301091488185692,0.240307773756887,0.284234002132712,0.228528384877065,0.41801848230711,0.281183990359033,0.307098969467153,0.275236328331086,0.232445698382962,0.21424978735064,0.266488068502041,0.265481341672147,0.306302487186303,0.287484719897144,0.303013368000917,0.31369546271835,0.294017496746782,0.265012761055184,0.292057547455588,0.258577894019553,0.275164113442997,0.288671016285677,"Androceras_Crinitum","Other",0.284757182340801
"Solanum_gomphodes",0.308087683594136,0.301069682296915,0.267781311437921,0.303988240879333,0.246601455809489,0.260213851618875,0.295385125852905,0.265003422146932,0.355929117562532,0.264547771416356,0.316169294871881,0.276025833894711,0.311391134665243,0.309799661352803,0.283332745328087,0.241182911268717,0.253607883195868,0.26458185847392,0.46880261531634,0.306021760985858,0.295944027045825,0.305470022808224,0.289698666863806,0.311548000265093,0.307625050426171,0.316250982547894,0.303154881351046,0.270072504605975,0.28961708261352,0.261808834003981,0.273678983000438,0.30555371223311,0.26813736069781,0.305341702815511,0.268721426150756,0.301722603500456,0.251548670036376,0.256107421116654,0.294296510617116,0.262567399254376,0.35644903301265,0.262749021049327,0.315679984919684,0.276362068580689,0.303777201409443,0.291367409432235,0.28596434691571,0.242970641793826,0.254970198185953,0.26906523127276,0.464963963712632,0.306336558117576,0.29644642655341,0.30446399918544,0.295269637092319,0.241746861373973,0.262348931797287,0.268525576646181,0.268096186043123,0.231319630806019,0.286379993903384,0.294373911390417,0.267884038877551,0.26886908716778,0.27624984324279,0.296136493174067,0.221828810473973,0.272426470604596,0.297956406677873,0.260263967215728,0.306249991769494,0.314981992201547,0.287851444662442,0.186454348501942,0.22432343128597,0.275908208708856,0.278925997446947,0.295866896714195,0.301091488185692,0.240751316261613,0.28463094123398,0.223679934580314,0.424317670695285,0.278356666960473,0.306084718194245,0.276020797859537,0.23126785627603,0.219948695885026,0.266748470094748,0.267288283573666,0.306302487186303,0.287237741777214,0.309003798983634,0.313601931607334,0.300833253278174,0.269743929113987,0.291093035446666,0.258312647148457,0.273542079457767,0.288671016285677,"Androceras_Crinitum","Other",0.285687222059286
"Solanum_oocarpum",0.309113155647185,0.305168357900354,0.267781311437921,0.303352663026006,0.256431905170369,0.259393028284232,0.295050611455317,0.26360553027679,0.357240874762776,0.264469640383364,0.317895755140241,0.274666223655336,0.311253363354582,0.312447561225443,0.285247726677963,0.241182911268717,0.251534281034099,0.265703251403684,0.4673580047724,0.305787700229465,0.291566620408867,0.298189659214065,0.28659280416267,0.301479452744622,0.30732894165,0.31117319221923,0.300741258949862,0.271148122990906,0.289590483608143,0.261793164705324,0.271506792819245,0.310380385083685,0.26813736069781,0.305808077316501,0.271096072821908,0.302304700923413,0.261592230639965,0.255056188994199,0.293081567918271,0.263174819213345,0.357767801112641,0.2627997616173,0.316688317233449,0.268436248020249,0.303777201409443,0.292190571633552,0.28596434691571,0.242894960382056,0.254970198185953,0.268281360681126,0.464872109172088,0.306655071313501,0.295518012414822,0.30058243973567,0.295423694897933,0.241746861373973,0.261246405122251,0.397413633355347,0.268096186043123,0.228545164672269,0.289146497664865,0.294373911390417,0.265485368938523,0.267486811037822,0.27624984324279,0.29636770005816,0.229291172407359,0.27296519909595,0.298904037670314,0.260263967215728,0.30557981372563,0.312456957441638,0.28765117965711,0.186689604862681,0.220959878221384,0.276392415750478,0.278748030668768,0.294357589081405,0.306290455944478,0.240584287155147,0.284234002132712,0.22334758510017,0.417488446856017,0.280195669421634,0.306813760260341,0.276231685528073,0.232445698382962,0.217175528781049,0.26474280508613,0.267288283573666,0.307864109637406,0.287237741777214,0.309003798983634,0.31369546271835,0.300244071659396,0.269646669613838,0.291737297343249,0.261481734138894,0.274435996390588,0.307230000228723,"Androceras_Crinitum","Other",0.287030811683254
"Solanum_johnstonii",0.308087683594136,0.305168357900354,0.265721555558651,0.303352663026006,0.248632732895632,0.256196860204335,0.295385125852905,0.258438510835038,0.356780591323567,0.263866867265379,0.318394624086106,0.274844160393142,0.311253363354582,0.309799661352803,0.285247726677963,0.241182911268717,0.24990578580346,0.26566951819356,0.46880261531634,0.306021760985858,0.295944027045825,0.301356133271572,0.289248171670806,0.30327074030056,0.307625050426171,0.316680828699126,0.300714792636917,0.270072504605975,0.289590483608143,0.258321510165228,0.273678983000438,0.311083979460241,0.269247701664626,0.305508087950918,0.268721426150756,0.302304700923413,0.250503821168962,0.253545924414445,0.29374986562851,0.263711688373071,0.357445994565323,0.257393874384845,0.316333792610501,0.27256443627364,0.303777201409443,0.292190571633552,0.28683407842838,0.244295421966131,0.254970198185953,0.268240520512926,0.464963963712632,0.306336558117576,0.296535293003824,0.30058243973567,0.296030647478952,0.244070225702911,0.261682394819051,0.268525576646181,0.267121760137707,0.224958594225281,0.284757779540195,0.294373911390417,0.26253354953282,0.271784686328886,0.276319621849087,0.293487876693824,0.221780792261792,0.273027225198009,0.298904037670314,0.260829792853599,0.306249991769494,0.311076269539117,0.286806957579356,0.187569439088195,0.224647209959696,0.277219951786682,0.279364562227812,0.294480102174803,0.312431912447609,0.240751316261613,0.282239619625525,0.22334758510017,0.41801848230711,0.280195669421634,0.305358209888493,0.276231685528073,0.232445698382962,0.21750821366242,0.267341298485203,0.266195743497467,0.306621489247221,0.287484719897144,0.309003798983634,0.31369546271835,0.299978683650844,0.269743929113987,0.290158331882889,0.25813034711207,0.281458346316814,0.30812203370759,"Androceras_Crinitum","Other",0.285541633752876
"Solanum_pseudosycophanta",0.307568541687232,0.304943512903944,0.267062250858661,0.303352663026006,0.244662797920135,0.256196860204335,0.294385975877343,0.265751402170777,0.359495423497181,0.263083426191059,0.317895755140241,0.277308174475677,0.311253363354582,0.309720180867684,0.285247726677963,0.241182911268717,0.258037540092628,0.265703251403684,0.46880261531634,0.306021760985858,0.294110810021711,0.301356133271572,0.289698666863806,0.301479452744622,0.307625050426171,0.317025593363949,0.299381508211908,0.269913482952356,0.289590483608143,0.256139844875909,0.280372148887094,0.311563892023338,0.269247701664626,0.304909545818254,0.268721426150756,0.301722603500456,0.244017780768075,0.253545924414445,0.293817134167351,0.264489239802625,0.357767801112641,0.2627997616173,0.315280883095961,0.277376389169823,0.303777201409443,0.293376516003463,0.28596434691571,0.243308482726995,0.259242211455102,0.269585579683262,0.464872109172088,0.306655071313501,0.296605217423808,0.30058243973567,0.295786941581728,0.241635220827177,0.262666326724033,0.268525576646181,0.268096186043123,0.226927096207862,0.288465111585963,0.299432530708461,0.268711704989217,0.268828459186257,0.27624984324279,0.2990767962181,0.220781913793816,0.273027225198009,0.298904037670314,0.260263967215728,0.306249991769494,0.313030210768095,0.286806957579356,0.186689604862681,0.223378144776602,0.275908208708856,0.278925997446947,0.296845963383374,0.306290455944478,0.242316107400485,0.284234002132712,0.22334758510017,0.41801848230711,0.279679607849292,0.307303623458636,0.276231685528073,0.230108355534941,0.215419942234986,0.266852365394762,0.266195743497467,0.306302487186303,0.287106344230678,0.308911691072588,0.31369546271835,0.294331361308988,0.269743929113987,0.292057547455588,0.258087978527691,0.274435996390588,0.307878704932668,"Androceras_Crinitum","Other",0.285773620447467
"Solanum_falciforme",0.308792524629361,0.305003551129682,0.267062250858661,0.301468172238754,0.247520819508536,0.253714530118003,0.295385125852905,0.264681396396651,0.356937532347539,0.266064301661326,0.31713793474303,0.274638926668685,0.311253363354582,0.309533340834502,0.285247726677963,0.241426936922022,0.258037540092628,0.264279176245034,0.46880261531634,0.306021760985858,0.29394668207579,0.305470022808224,0.289698666863806,0.302289952455036,0.307625050426171,0.316894775584185,0.315783071948791,0.270072504605975,0.289493167226172,0.260122081260443,0.279486860003327,0.310380385083685,0.269719634892333,0.305615543812383,0.268371417952732,0.300438720013963,0.250642822562555,0.253276414646692,0.296973582959082,0.263660065615797,0.363114781294461,0.26440150788335,0.316333792610501,0.274105834507175,0.303777201409443,0.292190571633552,0.28596434691571,0.242953220752123,0.259242211455102,0.26906523127276,0.464963963712632,0.306655071313501,0.296605217423808,0.30446399918544,0.295786941581728,0.240209663940121,0.264299402176241,0.395868603863393,0.268096186043123,0.226927096207862,0.286457432186683,0.294777745798803,0.267884038877551,0.269191729409125,0.276319621849087,0.300412849894188,0.223164540247151,0.275043263839831,0.298774954277812,0.259053796369326,0.306249991769494,0.312035435701316,0.286774919546474,0.183383321585479,0.221534486762053,0.275860473375371,0.278925997446947,0.295866896714195,0.306155287510686,0.240751316261613,0.284234002132712,0.228528384877065,0.454748141738944,0.280195669421634,0.306084718194245,0.276231685528073,0.233289063753933,0.217355987847891,0.263605393206998,0.265481341672147,0.306621489247221,0.287484719897144,0.311430009873291,0.313535241223012,0.314318960650522,0.269743929113987,0.292657079694626,0.264569552921559,0.278706123458536,0.307230000228723,"Androceras_Crinitum","Other",0.288026653886667
"Solanum_adenobasis",0.308792524629361,0.305003551129682,0.267062250858661,0.303352663026006,0.24946144960767,0.255907865260812,0.295385125852905,0.265751402170777,0.356688399618308,0.264113123495068,0.317989765644819,0.273556051799137,0.315018541346305,0.309720180867684,0.285073389942062,0.241351384943094,0.252408712203071,0.265703251403684,0.46880261531634,0.305832142834441,0.295944027045825,0.305470022808224,0.289698666863806,0.302289952455036,0.307625050426171,0.316757969569304,0.315783071948791,0.270510482089884,0.289590483608143,0.259281508564667,0.273678983000438,0.310380385083685,0.269247701664626,0.305615543812383,0.265587984388083,0.301722603500456,0.254161599156386,0.254530643454846,0.293817134167351,0.263711688373071,0.357445994565323,0.2627997616173,0.317250205162373,0.27256443627364,0.303777201409443,0.292190571633552,0.28596434691571,0.24297073587773,0.255012040572154,0.268281360681126,0.464963963712632,0.30494431902355,0.296605217423808,0.30446399918544,0.294481882854409,0.241746861373973,0.262170513779861,0.268878224162022,0.268096186043123,0.226766281849416,0.286457432186683,0.291448102059451,0.266670688888457,0.289175392416664,0.276319621849087,0.297092489502985,0.221828810473973,0.27296519909595,0.298904037670314,0.260263967215728,0.306249991769494,0.313030210768095,0.287851444662442,0.185889724870518,0.225044557943199,0.275908208708856,0.277874223590511,0.294480102174803,0.306290455944478,0.235994441314176,0.284234002132712,0.225703694896041,0.454748141738944,0.280988329443446,0.306084718194245,0.275089410805334,0.230108355534941,0.216900569044086,0.266488068502041,0.266195743497467,0.304497066735846,0.282122259518137,0.311430009873291,0.312596015473303,0.314318960650522,0.269743929113987,0.292057547455588,0.257573695159881,0.274435996390588,0.307230000228723,"Androceras_Crinitum","Other",0.286460396155426
"Solanum_kioniotrichum",0.308087683594136,0.304943512903944,0.266209870012616,0.303352663026006,0.248647300186565,0.254578106383679,0.295385125852905,0.263617319025969,0.356780591323567,0.264074077250884,0.317895755140241,0.283980891410459,0.312362743293335,0.309181830848326,0.285247726677963,0.241351384943094,0.251534281034099,0.266259972280428,0.46880261531634,0.328814902474662,0.295944027045825,0.301356133271572,0.291914286676375,0.311548000265093,0.308683443051354,0.317025593363949,0.303154881351046,0.270072504605975,0.289264328934942,0.258960681575265,0.273678983000438,0.30555371223311,0.269016902975141,0.304909545818254,0.268721426150756,0.302304700923413,0.252766473483435,0.253545924414445,0.293817134167351,0.263711688373071,0.357445994565323,0.261233237166568,0.316688317233449,0.273811113908231,0.303777201409443,0.294006505528465,0.28596434691571,0.242649501117359,0.255012040572154,0.268276845024647,0.464963963712632,0.32742754967051,0.296605217423808,0.30058243973567,0.295786941581728,0.241746861373973,0.262170513779861,0.268816552628711,0.268096186043123,0.234176885449822,0.288034817645321,0.294310671468233,0.267884038877551,0.270424325520512,0.27624984324279,0.289125768590877,0.222827601614955,0.273568815307655,0.29893580817142,0.260829792853599,0.306499644311331,0.313030210768095,0.288927754772252,0.186689604862681,0.22432343128597,0.275908208708856,0.280159810216875,0.295866896714195,0.301376884022505,0.240751316261613,0.284234002132712,0.229328232209881,0.41801848230711,0.280195669421634,0.306531718345088,0.275889889426063,0.232362176876454,0.217608291605702,0.264553490008359,0.270433298723906,0.306621489247221,0.290302764093677,0.309003798983634,0.313640878133115,0.300833253278174,0.269743929113987,0.291944529250607,0.257831775713685,0.274435996390588,0.2996759380302,"Androceras_Crinitum","Other",0.286352117880103
"Solanum_lumholtzianum",0.308087683594136,0.308044263017701,0.267062250858661,0.303352663026006,0.248795266135856,0.256196860204335,0.295707624669551,0.263222313571699,0.356937532347539,0.263861336607381,0.308861188152775,0.274844160393142,0.311253363354582,0.308939816938472,0.281468063872912,0.242547214274867,0.251298685636558,0.265509565479473,0.46880261531634,0.306021760985858,0.295944027045825,0.301356133271572,0.289698666863806,0.30327074030056,0.307625050426171,0.317025593363949,0.29860637894333,0.270072504605975,0.289590483608143,0.261808834003981,0.273678983000438,0.311083979460241,0.26870896716366,0.311071286573355,0.268721426150756,0.302304700923413,0.252105291953468,0.253417239930648,0.293817134167351,0.263711688373071,0.357445994565323,0.262026112892041,0.316333792610501,0.273739266038846,0.303777201409443,0.29162940834451,0.28596434691571,0.239641660710018,0.254970198185953,0.270091041903992,0.464963963712632,0.307650885960486,0.296605217423808,0.30058243973567,0.296030647478952,0.241746861373973,0.262348931797287,0.395868603863393,0.268096186043123,0.224132851076281,0.288465111585963,0.294373911390417,0.267884038877551,0.271784686328886,0.27624984324279,0.296423822100409,0.221828810473973,0.273027225198009,0.298904037670314,0.260829792853599,0.306499644311331,0.312519379690493,0.286806957579356,0.189101977366509,0.224647209959696,0.276078365828901,0.278925997446947,0.295360719633102,0.312431912447609,0.240751316261613,0.284234002132712,0.226907388803569,0.41801848230711,0.280195669421634,0.306084718194245,0.276231685528073,0.233321615077632,0.219622782133909,0.266209641442655,0.262340690854306,0.306621489247221,0.288130478967448,0.309003798983634,0.31369546271835,0.299978683650844,0.268826854232356,0.29058041968357,0.258312647148457,0.274435996390588,0.307878704932668,"Androceras_Crinitum","Other",0.28701604922708
